course_code,title,terms_offered,credits,terms_credits_raw,offering_notes,signature_program,signature_program_required,section_blurb,full_description,bleed_removed
AR150HO,"FIRST YEAR ARABIC, HONORS",Year,3,Year; 3 course credits,,,False,,"This course introduces students to Fusha Arabic, the written and formal spoken language of almost 400 million people in the Middle East and North Africa and the liturgical language of almost two billion people around the world. By the end of this course, which places an equal emphasis on interpersonal, presentational, and interpretive skills, students are expected to read and comprehend short authentic Arabic texts, initiate and maintain conversations about everyday life, and compose short essays on familiar topics. Through comprehension-based immersion, students will enhance their learning by taking an active role in the classroom. The objective is to raise students’ interest and motivation, and to challenge them through intercultural activities that harness their linguistic agency and analytical skill. Students also hone their intercultural competencies as they are introduced to various Arabic cultures and sub-cultures through short stories, poetry, media, music, dance, and culinary art. This honors course moves at a fast pace using college-level textbooks and materials. Open to students with no previous background in Arabic.",
AR250HO,"SECOND YEAR ARABIC, HONORS",Year,3,Year; 3 course credits,,,False,,"This course aims to develop students’ speaking, reading, writing, listening, and comprehension skills across the interpersonal, presentational, and interpretive modes. Emphasis is placed on immersive communication and intercultural acquisition to encourage students to converse meaningfully in the target language. By the end of this course, students reach a low- intermediate level of linguistic proficiency across all three modes of communication. Students will be introduced to basic phrases and expressions in Egyptian, Levantine, and Maghrebi colloquial Arabic through songs, theatre, and media to facilitate the practice of the language for everyday life, e.g., personal introductions, ordering food, shopping, etc. Students will research various cultures and regional sub-cultures across the Arab world using a project-based model of learning. Open to students who have completed AR150HO or its equivalent.",
AR350HO,"THIRD YEAR ARABIC, HONORS",Year,3,Year; 3 course credits,,,False,,"This course uses a wide range of authentic situation-based texts, topics, and multi-media about Arab culture and history to help students progressively develop all four language skills in Fusha Arabic: speaking, reading, writing, and listening. The course introduces new vocabulary, idioms, and high-intermediate complex grammar structures. Students will continue to be introduced to spoken regional varieties in the three major Arabic dialects (Egyptian, Levantine, and Maghrebi). Students will expand their intercultural competencies and world view by exploring a variety of religious texts from the major world religions, as well as select texts and articles from leading Arabic newspapers and magazines. Upon completion of the course, students should have a high-intermediate proficiency level and be able to demonstrate an understanding of the history, politics, and current affairs in the Middle East and North Africa. Open to students who have completed AR250HO or its equivalent. FOURTH YEAR ARABIC, HONORS These courses may be taken as a two-term sequence or individually as term electives. They are not required to be taken in sequential order. FOURTH","YEAR ARABIC, HONORS Two terms; 1 course credit (each term) AR451HO (Fall); AR452HO (Winter) In this advanced sequence, a wide range of authentic texts and multi-media from across the Arab world along with meaningful application of the target language are employed to help students attain an intermediate-mid to advanced-low proficiency level in interpersonal, interpretive, and presentational skills. The sequence of courses follows an experiential education model with an emphasis on documentary movie making, commercials, and short productions. In addition to strengthening the core foundations of their “Fusha” Arabic, students also get a solid exposure to the major spoken dialects of the Arab world. Through media productions, students will contrast practices, products, and cultural perspectives from various parts of Arab speaking countries and beyond, with the goal of attaining an advanced-low level in cultural competency. Open to students who have completed AR350HO or its equivalent."
AS230,REVERSE ENGINEERING: HOW THINGS WORK,Spring term,1,Spring term; 1 course credit,,,False,,"This course introduces students to general principles of product design and function and examines some of the engineered items all around us. Students learn to take apart various mechanical and electrical devices and examine how component parts work together. Engineering skills such as sketching, 3D modeling, prototyping, testing, and clear communication are emphasized. An introduction to microcontrollers and programming is included and students build several devices of their own design. Hands-on experimentation is emphasized, and students learn to use some 3D modeling software (Google SketchUp), 3D printers, and Arduino microcontrollers. Open to third and fourth formers.",
AS310AD,TOPICS IN ENGINEERING,"Winter, Spring terms",1,"Winter, Spring terms; 1 course credit",,,False,,"This introductory course is designed to provide students with an overview of major engineering principles and applications, as well as an opportunity to implement those principles through experimentation, design-based projects, and presentations. Topics to be covered include graphical communication and drafting, practical material science, beam mechanics and deformation, torque, stability, and buoyancy. The course will provide an interdisciplinary outlet for the mathematical skills and general scientific knowledge students have already acquired and introduce new mathematical concepts to improve their understanding of how real-world systems are designed, modeled, and fabricated. Open to students who have completed one year of physics and Algebra II.",
AS410AD,FORENSIC SCIENCE,Spring term,1,Spring term; 1 course credit,,,False,,"Forensic science is a lab-based survey of scientific approaches to criminal investigation. Students will learn how various disciplines, including biology, chemistry, math, anatomy, psychology, and law, are interconnected, and they will gain an appreciation for the importance of looking at crime scenes and evidence objectively. Techniques used in the field including fingerprinting, blood analysis, handwriting analysis, evidence collection, casts, and impressions will be introduced. Through a variety of traditional and alternative assessments, students will demonstrate their understanding of concepts and apply them to novel scenarios, often in the form of mock crime scenes. Effective use of the scientific process is fundamental, as students will examine current events, case studies, and cold cases. Students will be expected to work collaboratively and independently. Open to fifth and sixth form students who have completed at least two years of a lab-based science (including biology or concurrent enrollment in biology).",
AS440AD,ELECTRONICS,Winter term,1,Winter term; 1 course credit,,,False,,"This laboratory course introduces students to both the principles and the techniques of electronics. Students explore the basics of resistors, capacitors, diodes, and the 555-timer chip during the first half of the course. Students develop their experimental skills with multimeters, breadboards, oscilloscopes, and practice building and analyzing circuits. The remainder of the course focuses on integrating the Arduino microcontroller into analog circuits and is introduced through a series of projects of increasing complexity. Each student finishes the course with an electronics project of their own choosing utilizing the Arduino platform and an analog component. Open to students who have completed one year of physics, or who are currently enrolled in physics and have the permission of the department.",
AS450HO,"DATA ANALYSIS AND VISUALIZATION, HONORS",Spring term,1,Spring term; 1 course credit,,,False,,"The ability to analyze, manipulate, and visualize large datasets has become an increasingly important skill in all areas of advanced science. Data guides decision making and allows scientists to discover patterns in fields as diverse as environmental science, microbiology, and astronomy. In this course, students learn to find and filter large public data sets, to analyze and visualize data, and to develop and interpret mathematical and conceptual models to answer scientific questions. Students also collect their own data from sources such as energy and weather-monitoring systems at the Kohler Environmental Center. They will learn to use software and languages such as R, Tableau, and ArcGIS, and will ultimately complete independent and group projects with data sets of their choosing. No previous coding experience or familiarity with a particular software program is necessary. Open to students who have completed Algebra II, or who are currently enrolled in Algebra II and have the permission of the department.",
AS560HO,"MATERIAL SCIENCE, HONORS",Spring term,1,Spring term; 1 course credit,,,False,,"The world is filled with stuff! Yet, incredibly, the materials that make up that stuff fall into only a few basic categories. The alloys, ceramics, polymers, and composites that are used to make cars, computer chips, high performance fabrics, and carbon-fiber skateboard decks all gain their special properties based on their molecular structure. In this course, students examine materials from the nanoscale to the macroscopic as they learn about crystal lattice bonding, manufacturing techniques, and real-world applications. Students complete a variety of laboratory experiences and projects of their own design. An understanding of material properties is crucial to engineering and recommended for students going into STEM fields. Open to students who have completed one year of chemistry.",
BI400,BIOLOGY,Year,3,Year; 3 course credits,,,False,,"This introductory course explores fundamental topics of biology, ranging from cellular biochemistry to the study of ecosystems. An understanding is developed by investigating the flow of energy through biological systems, studying changes within populations due to evolution, reproduction, and genetics, and by examining the ability of organisms to respond to their environment. Open to fifth and sixth formers who have completed physics and/or chemistry, and fourth formers who have completed physics and chemistry with the permission of the department. Note: BI400 is not open to students who have completed a year of high school biology at another school.",
